Identifier,Year,Company Name,MATCH,Country of Headquarters,IPO Date,TRBC Economic Sector Name,Balance Sheet Period End Date,Balance Sheet Accounting Standard,Total Assets,Total Equity,Price Close,Common Shares - Outstanding,Net Income Before Extraordinary Items,Net Cash Flow from Operating Activities,Common Equity,Book Value Per Share,YTD Total Return,NI,NI CHANGE,LOSS,NI PER LAGGED PRICE,NI CHANGE PER LAGGED PRICE,NI PER LAGED TA,CASH FLOW PER LAGGED TOTAL ASSETS
PVTP.PR,2003,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,2003,Czech,"95,818,479.28","84,220,239.95",0.08,"784,035,000.00","679,027.73","9,603,653.79","84,220,239.95",0.11,5.1%,0.0008660681347133737,0.0003233392259274139,0,0.014434468911889563,0.005388987098790232,7.145218212745663e-12,0.12098920777045344
PVTP.PR,2002,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,2002,Czech,"79,376,119.30","72,120,568.56",0.06,"784,035,000.00","425,518.46","9,477,048.03","72,120,568.56",0.09,12.1%,0.0005427289087859598,0.003980401627478365,0,0.010854578175719196,0.07960803254956729,6.097702138482523e-11,0.12476869223438938
PVTP.PR,2001,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,2001,Czech,"75,956,939.68","63,591,461.02",0.05,"784,035,000.00","3,546,292.65","2,311,372.20","63,591,461.02",0.08,-24.8%,0.004523130536264325,0.006373782879590834,0,0.06461615051806177,0.0910540411370119,1.6153906387708675e-10,0.031159965633911164
PVTP.PR,2000,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,2000,Czech,"74,177,623.53","57,262,831.76",0.07,"784,035,000.00","8,543,561.51","4,268,203.82","57,262,831.76",0.07,-38.1%,0.010896913415855159,0.009627625373867237,0,0.0990628492350469,0.0875238670351567,1.7350297517722223e-11,0.06327311443222082
PVTP.PR,1999,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,1999,Czech,"67,456,831.52","52,094,579.49",0.11,"784,035,000.00","995,166.25","4,930,092.20","52,094,579.49",0.07,23.1%,0.0012692880419879215,0.000713141938816507,0,0.011538982199890196,0.006483108534695518,3.3781993826283844e-11,0.06739098110924745
PVTP.PR,1998,RMS Mezzanine as,WOXC.L,Czech Republic,22/06/1993,Financials,1998,Czech,"73,156,557.73","61,621,824.62",0.11,"784,035,000.00","1,554,294.49","13,861,968.82","61,621,824.62",0.08,48.6%,0.0019824299808044285,0.0011764989700714893,0,0.03304049968007381,0.019608316167858155,1.090532123761816e-11,0.23621764684337498
TABK.PR,2022,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2022,IFRS,"727,188,081.94","388,622,860.69",741.33,"2,745,386.00","161,168,750.55","115,722,266.56","388,622,860.69",141.57,11.8%,58.705315227075545,0.08962450453233828,0,0.07998108315791161,0.00012210589317611723,7.771099208270625e-08,0.14249412770824463
TABK.PR,2021,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2021,IFRS,"812,119,547.81","398,919,859.03",733.99,"2,745,386.00","160,922,696.69","233,237,219.09","398,919,859.03",145.33,16.9%,58.61569072254321,1.2685215995127805,0,0.08349575613592662,0.0018069593451935566,8.278004267622548e-08,0.3092191777094358
TABK.PR,2020,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2020,IFRS,"754,277,987.60","403,739,450.74",702.02,"2,745,386.00","164,405,278.13","298,783,046.58","403,739,450.74",147.08,9.5%,59.88421232205599,4.729456772198873,0,0.0888740332171621,0.007018976821654284,9.076932769807084e-08,0.4130182628738616
TABK.PR,2019,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2019,IFRS,"723,413,643.99","416,291,589.44",673.81,"2,745,386.00","177,389,462.54","245,653,516.90","416,291,589.44",151.65,21.0%,64.61366909425486,2.294276695517489,0,0.10313434811533098,0.0036620537837469894,8.523700144383845e-08,0.3450942329734112
